feature,importance
liquidity_buffer_ratio,0.62733734
liquidity_buffer_days,0.08257942
working_capital_indicator,0.07355859
merchant_category_Food,0.029328665
inflow_outflow_ratio,0.020524051
revenue_decline_pct,0.010165764
stress_buffer_interaction,0.009630379
revdrop_credit_interaction,0.0072413026
transaction_count,0.006779453
rolling_7d_inflow_cv,0.005984416
stress_intensity_score,0.005957174
merchant_state_Gujarat,0.0057617193
daily_outflow_estimated,0.005614386
merchant_state_encoded,0.0053290003
is_weekend,0.005117494
net_cash_flow,0.004931345
risk_segment_internal_encoded,0.0047550905
merchant_sub_category_Restaurant,0.0045644846
daily_inflow,0.004510193
merchant_city_Delhi,0.00441106
rolling_7d_inflow,0.0040303012
kyc_status_Verified,0.0039548734
risk_segment_internal_Medium,0.0037771978
cashflow_coverage_ratio,0.0037699544
merchant_sub_category_encoded,0.003706865
consecutive_drop_days,0.003678024
merchant_state_Maharashtra,0.003527043
rolling_3d_inflow,0.0028806261
merchant_sub_category_Supermarket,0.0028163206
merchant_category_encoded,0.0027390134
month,0.002713129
merchant_sub_category_Medical,0.0024838147
merchant_sub_category_MobileShop,0.0024766123
kyc_status_encoded,0.0024578255
merchant_category_Pharmacy,0.002411989
stress_score_composite,0.0023949228
merchant_category_Retail,0.0021262013
merchant_city_Surat,0.001936535
merchant_category_Grocery,0.001930828
rolling_14d_inflow,0.001875308
gap_volatility_interaction,0.0018570137
credit_utilization_ratio,0.0018505848
risk_segment_internal_Low,0.0016059728
debt_service_ratio,0.0015674158
merchant_city_Pune,0.0015525022
rolling_7d_volatility,0.0014338258
credit_vol_interaction,0.0014034597
merchant_city_encoded,0.0014018988
volatility_score_normalized,0.00134633
rolling_7d_outflow,0.0013170039
rolling_7d_net_cashflow,0.0012260224
merchant_city_Mumbai,0.0010627426
revenue_drop_significant,0.00045920358
revenue_drop_7d,0.00014723977
revenue_drop_severe,0.0
