Threshold,Precision,Recall,F1-Score,TP,FP,FN,TN
0.1,0.6853932584269663,0.9457364341085271,0.7947882736156352,122,56,7,9815
0.15000000000000002,0.6971428571428572,0.9457364341085271,0.8026315789473685,122,53,7,9818
0.20000000000000004,0.7142857142857143,0.9302325581395349,0.8080808080808081,120,48,9,9823
0.25000000000000006,0.7317073170731707,0.9302325581395349,0.8191126279863481,120,44,9,9827
0.30000000000000004,0.7361963190184049,0.9302325581395349,0.821917808219178,120,43,9,9828
0.3500000000000001,0.7453416149068323,0.9302325581395349,0.8275862068965517,120,41,9,9830
0.40000000000000013,0.7547169811320755,0.9302325581395349,0.8333333333333334,120,39,9,9832
0.45000000000000007,0.759493670886076,0.9302325581395349,0.8362369337979094,120,38,9,9833
0.5000000000000001,0.7777777777777778,0.9224806201550387,0.8439716312056738,119,34,10,9837
0.5500000000000002,0.7828947368421053,0.9224806201550387,0.8469750889679716,119,33,10,9838
0.6000000000000002,0.7933333333333333,0.9224806201550387,0.8530465949820788,119,31,10,9840
0.6500000000000001,0.7933333333333333,0.9224806201550387,0.8530465949820788,119,31,10,9840
0.7000000000000002,0.8013698630136986,0.9069767441860465,0.850909090909091,117,29,12,9842
0.7500000000000002,0.8156028368794326,0.8914728682170543,0.8518518518518519,115,26,14,9845
0.8000000000000002,0.8188405797101449,0.875968992248062,0.846441947565543,113,25,16,9846
0.8500000000000002,0.8235294117647058,0.8682170542635659,0.8452830188679246,112,24,17,9847
